modszer,ev,nyers,magyarazott,nem_magyarazott,kulonbseg
RF,2008,0.120310059567363,-0.036120018303258,0.156812507270914,-0.000382429400293205
RF,2008,0.129499432971295,-0.0257264893656473,0.154653382212238,0.000572540124704091
OLS,2008,0.120310059567363,-0.0510707851341525,0.171380844701515,0
OLS,2008,0.129499432971295,-0.0432404311860424,0.171108734498926,0.00163112965841172
RF,2009,0.113466521556642,-0.0308807296109066,0.144772526870764,-0.000425275703214822
RF,2009,0.113885004389687,-0.0318373668729262,0.14430624650582,0.00141612475679231
OLS,2009,0.113466521556642,-0.0527117196375375,0.16617824119418,0
OLS,2009,0.113885004389687,-0.0506970359959631,0.164498982618598,8.30577670516419e-05
RF,2010,0.13576590766149,-0.0215591369110228,0.157725776671557,-0.000400732099043566
RF,2010,0.11958699333502,-0.0283266917510989,0.153471201836036,-0.00555751674991711
OLS,2010,0.13576590766149,-0.0395898886573551,0.175355796318845,0
OLS,2010,0.11958699333502,-0.0498364335032271,0.174621851100261,-0.005198424262014
RF,2011,0.136284217000501,-0.0135911092741487,0.150340488127032,-0.000465161852382323
RF,2011,0.139663656195589,-0.0139633726092754,0.145823438761559,0.00780359004330577
OLS,2011,0.136284217000501,-0.00875805955790554,0.145042276558407,0
OLS,2011,0.139663656195589,-0.015945429388232,0.145297669380918,0.010311416202903
RF,2012,0.169205469537134,0.0182857261441018,0.151425013138518,-0.000505269745485037
RF,2012,0.163140379937634,0.0127357721372299,0.147778534975517,0.0026260728248868
OLS,2012,0.169205469537134,0.00611236543464067,0.163093104102494,0
OLS,2012,0.163140379937634,-0.000209993315378298,0.162939681997093,0.000410691255918749
RF,2013,0.146626488271451,-0.00284456327824678,0.150027664391082,-0.000556612841384307
RF,2013,0.136213301106114,-0.0111171448367884,0.148998881071646,-0.00166843512874415
OLS,2013,0.146626488271451,-0.00758624553715492,0.154212733808606,0
OLS,2013,0.136213301106114,-0.0184433439704588,0.15448682531351,0.000169819763062407
RF,2014,0.143114794806651,0.0107892355745332,0.133124861705546,-0.000799302473428298
RF,2014,0.150650513368106,0.0156540193067709,0.131694887380538,0.00330160668079671
OLS,2014,0.143114794806651,0.0104484347070919,0.132666360099559,0
OLS,2014,0.150650513368106,0.00856680509945562,0.133842985871601,0.00824072239704954
RF,2015,0.15000756515691,0.0153427226672083,0.134941510080195,-0.000276667590492607
RF,2015,0.152056832927046,0.0118427309662046,0.133605487894387,0.00660861406645452
OLS,2015,0.15000756515691,0.0040740403684012,0.145933524788509,0
OLS,2015,0.152056832927046,-0.00441280635772756,0.148513959951147,0.00795567933362662
RF,2016,0.171599253770003,0.0183592963348005,0.153748784632317,-0.000508827197114314
RF,2016,0.150300711641982,0.00643173920014739,0.150106697909456,-0.00623772546762069
OLS,2016,0.171599253770003,0.00985724871983074,0.161742005050172,0
OLS,2016,0.150300711641982,-0.00612708975750742,0.161322380079966,-0.00489457868047616
