"","variables","2008","2009","2010","2011","2012","2013","2014","2015","2016","aggregate"
"1","WS effect","0.2704","0.2743","0.3193","0.2692","0.2374","0.2254","0.1805","0.2033","0.1913"," "
"2","n","978","582","815","819","980","886","716","522","622"," "
"3","Age","40.88","41.74","41.52","42.07","41.25","42.06","42.65","41.95","43.52","avg"
"4","Tenure","81.75","84.22","81.43","81.23","73.77","81.78","80.62","84.45","92.87","avg"
"5","Education","3.04","3.14","3.18","3.11","3.2","3.3","3.06","3.17","3.16","avg"
"6","Occupation","29","27","28","29","28","29","29","30","30","mode"
"7","Foreign","1.12","1.08","1.07","1.12","1.08","1.06","1.08","1.07","1.07","avg"
"8","State","4","4","4","4","3.99","4","3.99","3.99","3.99","avg"
"9","Firm size","1498.75","724.51","610.2","809.09","719.86","865.51","875.81","896.3","1090.8","avg"
"10","Settlement","2","2","2","2","2","2","2","2","2","mode"
"11","Region","2","2","2","2","2","2","3","2","2","mode"
"12","Industry","3","3","3","3","3","3","3","3","3","mode"
"13","Collective agr","0.31","0.3","0.26","0.23","0.39","0.29","0.17","0.16","0.18","avg"
"14","Coll agr in industry","0.05","0.06","0.04","0.04","0.03","0.05","0.05","0.03","0.02","avg"
"15","Coll agr some firms","0.01","0.04","0.02","0.05","0.02","0.01","0.04","0.03","0","avg"
"16","Any collective agr","0.33","0.35","0.3","0.31","0.44","0.32","0.22","0.2","0.18","avg"
