"","variables","2008","2009","2010","2011","2012","2013","2014","2015","2016","aggregate"
"1","WS effect","0.0497","0.0421","0.0388","0.0375","0.0515","0.0921","0.0633","0.0331","0.0775"," "
"2","n","1886","2179","1778","1664","1448","1472","1622","1567","1879"," "
"3","Age","36.95","36.81","37.68","38.01","38.66","38.27","38.04","38.16","38.57","avg"
"4","Tenure","53.67","53.54","60.53","60.25","64.1","61.69","56.39","55.79","57.39","avg"
"5","Education","6.22","6.47","6.47","6.43","6.54","6.43","6.61","6.61","6.64","avg"
"6","Occupation","14","13","13","14","14","14","14","15","16","mode"
"7","Foreign","4","4","4","4","4","4","4","4","4","avg"
"8","State","3.7","3.81","3.82","3.78","3.82","3.83","3.83","3.88","3.89","avg"
"9","Firm size","51.26","51.62","52.23","50.27","49.44","50.45","50.29","49.54","54.27","avg"
"10","Settlement","1","1","1","1","1","3","3","3","3","mode"
"11","Region","1","1","1","1","1","1","1","1","1","mode"
"12","Industry","7","7","7","7","7","7","7","7","7","mode"
"13","Collective agr","0.13","0.11","0.1","0.11","0.07","0.02","0.04","0.03","0.02","avg"
"14","Coll agr in industry","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.02","avg"
"15","Coll agr some firms","0.04","0.02","0.05","0.04","0.03","0.06","0.03","0.01","0","avg"
"16","Any collective agr","0.18","0.15","0.14","0.15","0.1","0.08","0.07","0.04","0.03","avg"
