"","V1","V2","V3","V4","V5"
"1","év","adatbázis","RF","regr","elemszam"
"2","2008","train","0.0521839713170022","0.177468486934189","30594"
"3","2008","test","0.126683908656723","0.182582407778347","33522"
"4","2009","train","0.0558993663055869","0.191461177306566","29816"
"5","2009","test","0.13170244846004","0.192483346879908","26994"
"6","2010","train","0.0533518828601474","0.180966631695087","29785"
"7","2010","test","0.126135072162885","0.18427935128695","28606"
"8","2011","train","0.0534029690221785","0.177929451452215","29881"
"9","2011","test","0.122629399568005","0.177235433341127","28846"
"10","2012","train","0.049244288999263","0.170697668085197","29570"
"11","2012","test","0.117300097706457","0.170518689504993","28664"
"12","2013","train","0.0465322774992227","0.16071795664405","30924"
"13","2013","test","0.108432731395584","0.161068903250505","31852"
"14","2014","train","0.0558029808034253","0.182201698289621","31362"
"15","2014","test","0.132500492727049","0.185046129248594","35485"
"16","2015","train","0.0479182616804307","0.163989117244082","30636"
"17","2015","test","0.111884843171091","0.163921508877295","50458"
"18","2016","train","0.0508285394811589","0.168869813462265","30176"
"19","2016","test","0.114927242405677","0.166183377122416","36380"
