"","V1","V2","V3","V4","V5"
"1","év","adatbázis","RF","regr","elemszam"
"2","2008","train","0.03485885322017","0.110529877947352","19970"
"3","2008","test","0.0831138322038336","0.113412424698307","19962"
"4","2009","train","0.0373562378366933","0.119233835893277","20664"
"5","2009","test","0.0882782412587585","0.121843980011264","16256"
"6","2010","train","0.035846653205246","0.114371511973939","20557"
"7","2010","test","0.0845810132768774","0.115161665026299","17873"
"8","2011","train","0.0344543780253985","0.107253634292714","20469"
"9","2011","test","0.0838358326027012","0.111567301210064","17766"
"10","2012","train","0.0316872601790618","0.099156804181194","20774"
"11","2012","test","0.0736476269230319","0.0994818800551888","18347"
"12","2013","train","0.0295093377948241","0.0948229108672388","19501"
"13","2013","test","0.0695179994717811","0.0960771385458476","18212"
"14","2014","train","0.0465832779374556","0.131044697247295","19006"
"15","2014","test","0.0968717533655374","0.124225342492569","19884"
"16","2015","train","0.0296019087501717","0.0969950591403829","19562"
"17","2015","test","0.0698947956652506","0.0983858095077863","29613"
"18","2016","train","0.0293097814082435","0.0932715939041633","20148"
"19","2016","test","0.0690531188949013","0.0942313012716995","21951"
