"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.150340488127031"," "
"2","n","20119"," "
"3","kor","40.4258660967245","avg"
"4","szolgho","88.3575227396988","avg"
"5","iskveg","5.27635568368209","avg"
"6","feor_2","17.9728117699687","avg"
"7","feor_2","14","mode"
"8","ara","3.59575525622546","avg"
"9","kra","3.03583677121129","avg"
"10","letszam","2769.99015855659","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.307569958745465","avg"
"15","kag","0.0599930414036483","avg"
"16","ksz","0.0443859038719618","avg"
"17","ev","2011"," "
