"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.191706683101883"," "
"2","n","622"," "
"3","kor","43.5192926045016","avg"
"4","szolgho","92.8665594855305","avg"
"5","iskveg","3.16237942122186","avg"
"6","feor_2","29.0787781350482","avg"
"7","feor_2","30","mode"
"8","ara","3.98553054662379","avg"
"9","kra","1.06591639871383","avg"
"10","letszam","1090.80225080386","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.176848874598071","avg"
"15","kag","0.0241157556270096","avg"
"16","ksz","0.00160771704180064","avg"
"17","ev","2016"," "
