"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.038856158852283"," "
"2","n","1778"," "
"3","kor","37.6754780652418","avg"
"4","szolgho","60.5303712035996","avg"
"5","iskveg","6.4718785151856","avg"
"6","feor_2","12.3172103487064","avg"
"7","feor_2","13","mode"
"8","ara","3.81608548931384","avg"
"9","kra","4","avg"
"10","letszam","52.2328458942632","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0950506186726659","avg"
"15","kag","0.00899887514060742","avg"
"16","ksz","0.0455568053993251","avg"
"17","ev","2010"," "
