"","year","dataset","category","RF","no of obs."
"1","2008","training","1","0.1562982","1419"
"2","2008","training","2","0.1054268","1322"
"3","2008","training","3","0.1127064","5481"
"4","2008","training","4","0.1249119","3083"
"5","2008","training","5","0.1781375","1934"
"6","2008","training","6","0.1036936","193"
"7","2008","training","7","0.2338846","2092"
"8","2008","training","8","0.2388084","2282"
"9","2008","training","9","0.1748574","1600"
"10","2012","training","1","0.15564257","1448"
"11","2012","training","2","0.15512731","1640"
"12","2012","training","3","0.14203477","5188"
"13","2012","training","4","0.09642967","3707"
"14","2012","training","5","0.12502488","2253"
"15","2012","training","6","0.12409609","150"
"16","2012","training","7","0.23127181","1153"
"17","2012","training","8","0.20618572","2927"
"18","2012","training","9","0.17731131","1964"
"19","2016","training","1","0.1799709","1667"
"20","2016","training","2","0.1548837","1835"
"21","2016","training","3","0.1495072","4675"
"22","2016","training","4","0.1226355","3310"
"23","2016","training","5","0.1431648","2550"
"24","2016","training","6","0.1457675","87"
"25","2016","training","7","0.2069104","810"
"26","2016","training","8","0.1884546","2316"
"27","2016","training","9","0.1461441","2574"
"28","2008","test","1","0.17335287","1636"
"29","2008","test","2","0.10900536","1491"
"30","2008","test","3","0.1142702","6061"
"31","2008","test","4","0.11614629","3490"
"32","2008","test","5","0.17110694","2178"
"33","2008","test","6","0.09368206","201"
"34","2008","test","7","0.22488547","2361"
"35","2008","test","8","0.23610404","2671"
"36","2008","test","9","0.15961264","1898"
"37","2012","test","1","0.1975825","1372"
"38","2012","test","2","0.1442224","1575"
"39","2012","test","3","0.1417356","5232"
"40","2012","test","4","0.0872141","3706"
"41","2012","test","5","0.1237049","2117"
"42","2012","test","6","0.109671","154"
"43","2012","test","7","0.2180928","1075"
"44","2012","test","8","0.1971008","2937"
"45","2012","test","9","0.1642685","1822"
"46","2016","test","1","0.2078233","1984"
"47","2016","test","2","0.1613046","2184"
"48","2016","test","3","0.1447104","5601"
"49","2016","test","4","0.1173647","4037"
"50","2016","test","5","0.1320397","2980"
"51","2016","test","6","0.1361069","121"
"52","2016","test","7","0.1981441","930"
"53","2016","test","8","0.177916","2880"
"54","2016","test","9","0.1338281","2906"
