"","year","dataset","category","RF","no of obs."
"1","2008","training","1","0.1235673","1226"
"2","2008","training","2","0.1501974","5846"
"3","2008","training","3","0.1767344","5194"
"4","2008","training","4","0.1584153","5596"
"5","2008","training","5","0.1350782","1544"
"6","2012","training","1","0.112641","981"
"7","2012","training","2","0.1377258","5485"
"8","2012","training","3","0.1663474","6475"
"9","2012","training","4","0.1581646","5129"
"10","2012","training","5","0.1434598","2360"
"11","2016","training","1","0.1019593","1029"
"12","2016","training","2","0.1368253","4943"
"13","2016","training","3","0.1676212","6215"
"14","2016","training","4","0.1645084","5262"
"15","2016","training","5","0.1509158","2375"
"16","2008","test","1","0.1021246","1315"
"17","2008","test","2","0.1455592","6570"
"18","2008","test","3","0.1780084","5921"
"19","2008","test","4","0.1584241","6391"
"20","2008","test","5","0.1357624","1790"
"21","2012","test","1","0.08454202","919"
"22","2012","test","2","0.13154698","5474"
"23","2012","test","3","0.16518246","6203"
"24","2012","test","4","0.15687218","5140"
"25","2012","test","5","0.14449077","2254"
"26","2016","test","1","0.08591623","1242"
"27","2016","test","2","0.1293993","5849"
"28","2016","test","3","0.17099377","7419"
"29","2016","test","4","0.16091176","6192"
"30","2016","test","5","0.1423916","2921"
