"","year","dataset","category","RF","no of obs."
"1","2008","training","1","0.2170669","4778"
"2","2008","training","2","0.2085689","1445"
"3","2008","training","3","0.169251","466"
"4","2008","training","4","0.1277943","12717"
"5","2012","training","1","0.1976854","5787"
"6","2012","training","2","0.1861425","1510"
"7","2012","training","3","0.1326708","268"
"8","2012","training","4","0.1268699","12865"
"9","2016","training","1","0.1985487","4464"
"10","2016","training","2","0.1930861","1087"
"11","2016","training","3","0.1683556","439"
"12","2016","training","4","0.1356776","13834"
"13","2008","test","1","0.2214287","5515"
"14","2008","test","2","0.2031554","1569"
"15","2008","test","3","0.1654365","516"
"16","2008","test","4","0.1233623","14387"
"17","2012","test","1","0.1962662","5515"
"18","2012","test","2","0.1855323","1433"
"19","2012","test","3","0.1486653","278"
"20","2012","test","4","0.1225956","12764"
"21","2016","test","1","0.1995075","5473"
"22","2016","test","2","0.1882252","1299"
"23","2016","test","3","0.16891","498"
"24","2016","test","4","0.1298803","16353"
