"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","regr","elemszam"
"2","2008","1","0.1194444","1","0.1192759","1953"
"3","2008","2","0.1805600","2","0.2292258","330"
"4","2008","3","0.1824900","3","0.2335821","551"
"5","2008","4","0.1598897","4","0.1743014","16572"
"6","2008","1","0.1185581","1","0.1189080","2222"
"7","2008","2","0.1840106","2","0.2466574","370"
"8","2008","3","0.1964444","3","0.2285036","593"
"9","2008","4","0.1570233","4","0.1739809","18802"
"10","2009","1","0.1197112","1","0.1908935","2506"
"11","2009","2","0.1081289","2","0.1659226","312"
"12","2009","3","0.1774698","3","0.1885401","879"
"13","2009","4","0.1475320","4","0.1612342","16487"
"14","2009","1","0.1221922","1","0.1856901","2144"
"15","2009","2","0.1198639","2","0.1578231","265"
"16","2009","3","0.1716203","3","0.1857548","777"
"17","2009","4","0.1465044","4","0.1604494","14861"
"18","2010","1","0.1269403","1","0.1895554","2481"
"19","2010","2","0.1714226","2","0.2214237","264"
"20","2010","3","0.1804641","3","0.2215617","702"
"21","2010","4","0.1611132","4","0.1705951","16768"
"22","2010","1","0.1273599","1","0.1910887","2419"
"23","2010","2","0.1539247","2","0.2210546","280"
"24","2010","3","0.1840886","3","0.2209168","738"
"25","2010","4","0.1559782","4","0.1692285","16131"
"26","2011","1","0.09903261","1","0.1335754","2324"
"27","2011","2","0.15599725","2","0.1990487","195"
"28","2011","3","0.17799862","3","0.1552269","771"
"29","2011","4","0.15609318","4","0.1455334","16829"
"30","2011","1","0.1066141","1","0.1339225","2273"
"31","2011","2","0.1379421","2","0.2023216","236"
"32","2011","3","0.1807699","3","0.1643790","781"
"33","2011","4","0.1497617","4","0.1451428","16172"
"34","2012","1","0.1131301","1","0.1262159","2301"
"35","2012","2","0.1434683","2","0.1502328","244"
"36","2012","3","0.1941301","3","0.2523891","588"
"37","2012","4","0.1551799","4","0.1651447","17297"
"38","2012","1","0.1109201","1","0.1256852","2405"
"39","2012","2","0.1321362","2","0.1446572","255"
"40","2012","3","0.1931672","3","0.2418441","603"
"41","2012","4","0.1516803","4","0.1657304","16727"
"42","2013","1","0.1338572","1","0.1500028","1206"
"43","2013","2","0.1499184","2","0.1530889","254"
"44","2013","3","0.1659437","3","0.2379545","737"
"45","2013","4","0.1504897","4","0.1508740","16879"
"46","2013","1","0.1337081","1","0.1390603","1233"
"47","2013","2","0.1454319","2","0.1674665","270"
"48","2013","3","0.1630214","3","0.2448714","767"
"49","2013","4","0.1495128","4","0.1514352","17633"
"50","2014","1","0.1195333","1","0.1774866","1522"
"51","2014","2","0.1255413","2","0.1019652","245"
"52","2014","3","0.1233152","3","0.1700458","650"
"53","2014","4","0.1349078","4","0.1274268","16221"
"54","2014","1","0.1338977","1","0.1837501","1774"
"55","2014","2","0.1271200","2","0.1228993","258"
"56","2014","3","0.1318155","3","0.1654461","766"
"57","2014","4","0.1315441","4","0.1279659","18703"
"58","2015","1","0.1201710","1","0.1825605","1649"
"59","2015","2","0.1724845","2","0.2165364","186"
"60","2015","3","0.1164125","3","0.2031069","499"
"61","2015","4","0.1365046","4","0.1399406","17030"
"62","2015","1","0.1112992","1","0.1830017","2640"
"63","2015","2","0.1382707","2","0.2157502","315"
"64","2015","3","0.1387959","3","0.2105865","864"
"65","2015","4","0.1355229","4","0.1425061","27607"
"66","2016","1","0.1475000","1","0.1941106","1345"
"67","2016","2","0.1776184","2","0.2039930","160"
"68","2016","3","0.1611194","3","0.1660841","654"
"69","2016","4","0.1537355","4","0.1587340","17665"
"70","2016","1","0.1461189","1","0.1896770","1601"
"71","2016","2","0.1455962","2","0.2195003","159"
"72","2016","3","0.1634165","3","0.1637749","794"
"73","2016","4","0.1499422","4","0.1586363","21069"
"74","2016","0","0","0","0","0"
"75","2016","0","0","0","0","0"
"76","0","0","0","0","0","0"
"77","0","0","0","0","0","0"
"78","0","0","0","0","0","0"
"79","0","0","0","0","0","0"
"80","0","0","0","0","0","0"
"81","0","0","0","0","0","0"
"82","0","0","0","0","0","0"
"83","0","0","0","0","0","0"
"84","0","0","0","0","0","0"
"85","0","0","0","0","0","0"
"86","0","0","0","0","0","0"
"87","0","0","0","0","0","0"
"88","0","0","0","0","0","0"
"89","0","0","0","0","0","0"
"90","0","0","0","0","0","0"
"91","0","0","0","0","0","0"
"92","0","0","0","0","0","0"
"93","0","0","0","0","0","0"
"94","0","0","0","0","0","0"
"95","0","0","0","0","0","0"
"96","0","0","0","0","0","0"
"97","0","0","0","0","0","0"
"98","0","0","0","0","0","0"
"99","0","0","0","0","0","0"
"100","0","0","0","0","0","0"
