"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","regr","elemszam"
"2","2008","1","0.1561505","1","0.1718462","1419"
"3","2008","2","0.1054881","2","0.1261007","1322"
"4","2008","3","0.1126643","3","0.1291140","5481"
"5","2008","4","0.1251234","4","0.1453930","3083"
"6","2008","5","0.1781780","5","0.1736942","1934"
"7","2008","6","0.1038462","6","0.1273950","193"
"8","2008","7","0.2339178","7","0.2376663","2092"
"9","2008","8","0.2388005","8","0.2809694","2282"
"10","2008","9","0.1749155","9","0.1627872","1600"
"11","2008","1","0.17349441","1","0.1749597","1636"
"12","2008","2","0.10898976","2","0.1214679","1491"
"13","2008","3","0.11421383","3","0.1300776","6061"
"14","2008","4","0.11629013","4","0.1402397","3490"
"15","2008","5","0.17102174","5","0.1693145","2178"
"16","2008","6","0.09375565","6","0.1235241","201"
"17","2008","7","0.22491708","7","0.2414340","2361"
"18","2008","8","0.23609518","8","0.2783969","2671"
"19","2008","9","0.15961594","9","0.1632081","1898"
"20","2009","1","0.12485491","1","0.15897189","1588"
"21","2009","2","0.11484517","2","0.14997107","1504"
"22","2009","3","0.11320210","3","0.13886102","6243"
"23","2009","4","0.13349604","4","0.16849167","3281"
"24","2009","5","0.13333454","5","0.12980315","2146"
"25","2009","6","0.08650105","6","0.07860818","200"
"26","2009","7","0.21262005","7","0.22849477","1757"
"27","2009","8","0.24111702","8","0.26504793","1915"
"28","2009","9","0.17265941","9","0.16328773","1550"
"29","2009","1","0.15683869","1","0.15735932","1437"
"30","2009","2","0.12979293","2","0.15466282","1371"
"31","2009","3","0.11335255","3","0.13638836","5644"
"32","2009","4","0.12757171","4","0.16956607","2877"
"33","2009","5","0.13025985","5","0.12882520","1847"
"34","2009","6","0.06791518","6","0.06971355","179"
"35","2009","7","0.19616872","7","0.22064136","1658"
"36","2009","8","0.23811069","8","0.26391100","1688"
"37","2009","9","0.15918320","9","0.15691203","1346"
"38","2010","1","0.1532431","1","0.20366767","1459"
"39","2010","2","0.1423517","2","0.17986433","1485"
"40","2010","3","0.1104118","3","0.13570269","6065"
"41","2010","4","0.1585616","4","0.17914334","3388"
"42","2010","5","0.1256070","5","0.10839349","2196"
"43","2010","6","0.0911684","6","0.06539893","150"
"44","2010","7","0.2448009","7","0.25445687","1868"
"45","2010","8","0.2497546","8","0.28578314","2063"
"46","2010","9","0.1846583","9","0.15435126","1541"
"47","2010","1","0.17032980","1","0.20212986","1376"
"48","2010","2","0.14914198","2","0.18116810","1474"
"49","2010","3","0.10733153","3","0.13440305","6050"
"50","2010","4","0.14479340","4","0.17879415","3180"
"51","2010","5","0.12063627","5","0.10830027","2140"
"52","2010","6","0.07069862","6","0.07096486","171"
"53","2010","7","0.23885773","7","0.26045861","1726"
"54","2010","8","0.25022076","8","0.28578986","1926"
"55","2010","9","0.18011272","9","0.16147125","1525"
"56","2011","1","0.13230145","1","0.19430034","1426"
"57","2011","2","0.12690585","2","0.14438908","1613"
"58","2011","3","0.14104610","3","0.17042552","5365"
"59","2011","4","0.09838334","4","0.02370803","3647"
"60","2011","5","0.12881304","5","0.08779983","2154"
"61","2011","6","0.09630018","6","0.09886334","144"
"62","2011","7","0.26108795","7","0.26135372","1062"
"63","2011","8","0.21053033","8","0.24622030","2852"
"64","2011","9","0.18684510","9","0.12079877","1856"
"65","2011","1","0.16214207","1","0.19025734","1356"
"66","2011","2","0.13465497","2","0.14486086","1624"
"67","2011","3","0.13872260","3","0.17116023","5245"
"68","2011","4","0.09413445","4","0.02916329","3448"
"69","2011","5","0.12395464","5","0.08688243","2121"
"70","2011","6","0.08286995","6","0.09553072","134"
"71","2011","7","0.23831836","7","0.26220717","1011"
"72","2011","8","0.19762080","8","0.24006796","2732"
"73","2011","9","0.16328507","9","0.12183918","1791"
"74","2012","1","0.15544264","1","0.21902697","1448"
"75","2012","2","0.15544403","2","0.16258471","1640"
"76","2012","3","0.14187629","3","0.16800048","5188"
"77","2012","4","0.09678975","4","0.04718352","3707"
"78","2012","5","0.12496928","5","0.14117198","2253"
"79","2012","6","0.12394272","6","0.12487103","150"
"80","2012","7","0.23140837","7","0.24231763","1153"
"81","2012","8","0.20623276","8","0.28268530","2927"
"82","2012","9","0.17726362","9","0.13141706","1964"
"83","2012","1","0.19797367","1","0.22194035","1372"
"84","2012","2","0.14434616","2","0.15774289","1575"
"85","2012","3","0.14154957","3","0.16736208","5232"
"86","2012","4","0.08734131","4","0.04679409","3706"
"87","2012","5","0.12342116","5","0.14486185","2117"
"88","2012","6","0.11000142","6","0.13051683","154"
"89","2012","7","0.21835779","7","0.24466232","1075"
"90","2012","8","0.19705580","8","0.27748994","2937"
"91","2012","9","0.16418402","9","0.13742462","1822"
"92","2013","1","0.1604081","1","0.23720475","1093"
"93","2013","2","0.1360595","2","0.14006386","1801"
"94","2013","3","0.1396481","3","0.14225632","4765"
"95","2013","4","0.1129779","4","0.09742494","2955"
"96","2013","5","0.1378471","5","0.10739291","1964"
"97","2013","6","0.1082191","6","0.10061034","137"
"98","2013","7","0.2175129","7","0.21831390","980"
"99","2013","8","0.1931553","8","0.24666773","3053"
"100","2013","9","0.1520025","9","0.11717042","2328"
"101","2013","1","0.21686827","1","0.23775187","1163"
"102","2013","2","0.13687975","2","0.13672502","1904"
"103","2013","3","0.13714433","3","0.14418936","5080"
"104","2013","4","0.10848726","4","0.09876839","3111"
"105","2013","5","0.13488106","5","0.10457728","1961"
"106","2013","6","0.06582319","6","0.08984313","120"
"107","2013","7","0.20440681","7","0.21928388","939"
"108","2013","8","0.19174992","8","0.24857225","3169"
"109","2013","9","0.14108175","9","0.11754103","2456"
"110","2014","1","0.16430278","1","0.24792414","1198"
"111","2014","2","0.10748365","2","0.10972276","1531"
"112","2014","3","0.13158494","3","0.12761112","4678"
"113","2014","4","0.09403481","4","0.04120472","3366"
"114","2014","5","0.10779227","5","0.10735483","2012"
"115","2014","6","0.13453491","6","0.17362211","104"
"116","2014","7","0.20319647","7","0.19107168","858"
"117","2014","8","0.17519729","8","0.24555039","2412"
"118","2014","9","0.14518973","9","0.11364074","2479"
"119","2014","1","0.21066688","1","0.24839610","1407"
"120","2014","2","0.11752306","2","0.11057176","1816"
"121","2014","3","0.12992339","3","0.13294100","5411"
"122","2014","4","0.08770584","4","0.04245513","3831"
"123","2014","5","0.10128787","5","0.10847885","2506"
"124","2014","6","0.10903660","6","0.17561268","106"
"125","2014","7","0.19373216","7","0.18544155","927"
"126","2014","8","0.17284631","8","0.24488871","2744"
"127","2014","9","0.13202316","9","0.11301677","2753"
"128","2015","1","0.16297123","1","0.25042857","1331"
"129","2015","2","0.13873382","2","0.18191769","1858"
"130","2015","3","0.14070837","3","0.14426666","4730"
"131","2015","4","0.09690051","4","0.07824485","3265"
"132","2015","5","0.11523212","5","0.09990142","2178"
"133","2015","6","0.12883322","6","0.13320500","98"
"134","2015","7","0.20160670","7","0.20434574","716"
"135","2015","8","0.16101731","8","0.24060352","2747"
"136","2015","9","0.12541104","9","0.07324609","2441"
"137","2015","1","0.19170122","1","0.25197231","2277"
"138","2015","2","0.15303755","2","0.18308283","2874"
"139","2015","3","0.13705723","3","0.14622232","7856"
"140","2015","4","0.08506327","4","0.08011373","5233"
"141","2015","5","0.10878808","5","0.10193919","3418"
"142","2015","6","0.11067349","6","0.13143869","136"
"143","2015","7","0.18344196","7","0.20217023","1180"
"144","2015","8","0.16413381","8","0.24271037","4631"
"145","2015","9","0.11437853","9","0.07078372","3821"
"146","2016","1","0.1802924","1","0.25993707","1667"
"147","2016","2","0.1548665","2","0.16942672","1835"
"148","2016","3","0.1493008","3","0.14933831","4675"
"149","2016","4","0.1226747","4","0.13320530","3310"
"150","2016","5","0.1432254","5","0.15153594","2550"
"151","2016","6","0.1468872","6","0.16366092","87"
"152","2016","7","0.2070679","7","0.19507117","810"
"153","2016","8","0.1887541","8","0.22287700","2316"
"154","2016","9","0.1461812","9","0.09644456","2574"
"155","2016","1","0.2079569","1","0.2540209","1984"
"156","2016","2","0.1612940","2","0.1714818","2184"
"157","2016","3","0.1447324","3","0.1494340","5601"
"158","2016","4","0.1172273","4","0.1321432","4037"
"159","2016","5","0.1321404","5","0.1526395","2980"
"160","2016","6","0.1371636","6","0.1712216","121"
"161","2016","7","0.1983082","7","0.1987506","930"
"162","2016","8","0.1783248","8","0.2188266","2880"
"163","2016","9","0.1338086","9","0.0933726","2906"
"164","0","0","0","0","0","0"
"165","0","0","0","0","0","0"
"166","0","0","0","0","0","0"
"167","0","0","0","0","0","0"
"168","0","0","0","0","0","0"
"169","0","0","0","0","0","0"
"170","0","0","0","0","0","0"
"171","0","0","0","0","0","0"
"172","0","0","0","0","0","0"
"173","0","0","0","0","0","0"
"174","0","0","0","0","0","0"
"175","0","0","0","0","0","0"
"176","0","0","0","0","0","0"
"177","0","0","0","0","0","0"
"178","0","0","0","0","0","0"
"179","0","0","0","0","0","0"
"180","0","0","0","0","0","0"
"181","0","0","0","0","0","0"
"182","0","0","0","0","0","0"
"183","0","0","0","0","0","0"
"184","0","0","0","0","0","0"
"185","0","0","0","0","0","0"
"186","0","0","0","0","0","0"
"187","0","0","0","0","0","0"
"188","0","0","0","0","0","0"
"189","0","0","0","0","0","0"
"190","0","0","0","0","0","0"
"191","0","0","0","0","0","0"
"192","0","0","0","0","0","0"
"193","0","0","0","0","0","0"
"194","0","0","0","0","0","0"
"195","0","0","0","0","0","0"
"196","0","0","0","0","0","0"
"197","0","0","0","0","0","0"
"198","0","0","0","0","0","0"
"199","0","0","0","0","0","0"
"200","0","0","0","0","0","0"
"201","0","0","0","0","0","0"
"202","0","0","0","0","0","0"
"203","0","0","0","0","0","0"
"204","0","0","0","0","0","0"
"205","0","0","0","0","0","0"
"206","0","0","0","0","0","0"
"207","0","0","0","0","0","0"
"208","0","0","0","0","0","0"
"209","0","0","0","0","0","0"
"210","0","0","0","0","0","0"
"211","0","0","0","0","0","0"
"212","0","0","0","0","0","0"
"213","0","0","0","0","0","0"
"214","0","0","0","0","0","0"
"215","0","0","0","0","0","0"
"216","0","0","0","0","0","0"
"217","0","0","0","0","0","0"
"218","0","0","0","0","0","0"
"219","0","0","0","0","0","0"
"220","0","0","0","0","0","0"
"221","0","0","0","0","0","0"
"222","0","0","0","0","0","0"
"223","0","0","0","0","0","0"
"224","0","0","0","0","0","0"
"225","0","0","0","0","0","0"
"226","0","0","0","0","0","0"
"227","0","0","0","0","0","0"
"228","0","0","0","0","0","0"
"229","0","0","0","0","0","0"
"230","0","0","0","0","0","0"
"231","0","0","0","0","0","0"
"232","0","0","0","0","0","0"
"233","0","0","0","0","0","0"
"234","0","0","0","0","0","0"
"235","0","0","0","0","0","0"
"236","0","0","0","0","0","0"
"237","0","0","0","0","0","0"
"238","0","0","0","0","0","0"
"239","0","0","0","0","0","0"
"240","0","0","0","0","0","0"
"241","0","0","0","0","0","0"
"242","0","0","0","0","0","0"
"243","0","0","0","0","0","0"
"244","0","0","0","0","0","0"
"245","0","0","0","0","0","0"
"246","0","0","0","0","0","0"
"247","0","0","0","0","0","0"
"248","0","0","0","0","0","0"
"249","0","0","0","0","0","0"
"250","0","0","0","0","0","0"
"251","0","0","0","0","0","0"
"252","0","0","0","0","0","0"
"253","0","0","0","0","0","0"
"254","0","0","0","0","0","0"
"255","0","0","0","0","0","0"
"256","0","0","0","0","0","0"
"257","0","0","0","0","0","0"
"258","0","0","0","0","0","0"
"259","0","0","0","0","0","0"
"260","0","0","0","0","0","0"
"261","0","0","0","0","0","0"
"262","0","0","0","0","0","0"
"263","0","0","0","0","0","0"
"264","0","0","0","0","0","0"
"265","0","0","0","0","0","0"
"266","0","0","0","0","0","0"
"267","0","0","0","0","0","0"
"268","0","0","0","0","0","0"
"269","0","0","0","0","0","0"
"270","0","0","0","0","0","0"
"271","0","0","0","0","0","0"
"272","0","0","0","0","0","0"
"273","0","0","0","0","0","0"
"274","0","0","0","0","0","0"
"275","0","0","0","0","0","0"
"276","0","0","0","0","0","0"
"277","0","0","0","0","0","0"
"278","0","0","0","0","0","0"
"279","0","0","0","0","0","0"
"280","0","0","0","0","0","0"
"281","0","0","0","0","0","0"
"282","0","0","0","0","0","0"
"283","0","0","0","0","0","0"
"284","0","0","0","0","0","0"
"285","0","0","0","0","0","0"
"286","0","0","0","0","0","0"
"287","0","0","0","0","0","0"
"288","0","0","0","0","0","0"
"289","0","0","0","0","0","0"
"290","0","0","0","0","0","0"
"291","0","0","0","0","0","0"
"292","0","0","0","0","0","0"
"293","0","0","0","0","0","0"
"294","0","0","0","0","0","0"
"295","0","0","0","0","0","0"
"296","0","0","0","0","0","0"
"297","0","0","0","0","0","0"
"298","0","0","0","0","0","0"
"299","0","0","0","0","0","0"
"300","0","0","0","0","0","0"
"301","0","0","0","0","0","0"
"302","0","0","0","0","0","0"
"303","0","0","0","0","0","0"
"304","0","0","0","0","0","0"
"305","0","0","0","0","0","0"
"306","0","0","0","0","0","0"
"307","0","0","0","0","0","0"
"308","0","0","0","0","0","0"
"309","0","0","0","0","0","0"
"310","0","0","0","0","0","0"
"311","0","0","0","0","0","0"
"312","0","0","0","0","0","0"
"313","0","0","0","0","0","0"
"314","0","0","0","0","0","0"
"315","0","0","0","0","0","0"
"316","0","0","0","0","0","0"
"317","0","0","0","0","0","0"
"318","0","0","0","0","0","0"
"319","0","0","0","0","0","0"
"320","0","0","0","0","0","0"
"321","0","0","0","0","0","0"
"322","0","0","0","0","0","0"
"323","0","0","0","0","0","0"
"324","0","0","0","0","0","0"
"325","0","0","0","0","0","0"
"326","0","0","0","0","0","0"
"327","0","0","0","0","0","0"
"328","0","0","0","0","0","0"
"329","0","0","0","0","0","0"
"330","0","0","0","0","0","0"
"331","0","0","0","0","0","0"
"332","0","0","0","0","0","0"
"333","0","0","0","0","0","0"
"334","0","0","0","0","0","0"
"335","0","0","0","0","0","0"
"336","0","0","0","0","0","0"
