"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","OLS","elemszam"
"2","2008","1","0.1778173","1","0.2013834","3088"
"3","2008","2","0.2091198","2","0.2210030","4097"
"4","2008","3","0.1319702","3","0.1493167","8648"
"5","2008","4","0.1388081","4","0.1419550","3573"
"6","2008","1","0.1695857","1","0.1999260","3561"
"7","2008","2","0.2087285","2","0.2215445","4616"
"8","2008","3","0.1344095","3","0.1506135","9756"
"9","2008","4","0.1286827","4","0.1376904","4054"
"10","2009","1","0.1710608","1","0.1904879","2818"
"11","2009","2","0.1772874","2","0.1888215","3864"
"12","2009","3","0.1291387","3","0.1577633","9383"
"13","2009","4","0.1318991","4","0.1474746","4119"
"14","2009","1","0.1646563","1","0.1877720","2538"
"15","2009","2","0.1758006","2","0.1886462","3403"
"16","2009","3","0.1280505","3","0.1541896","8396"
"17","2009","4","0.1382846","4","0.1497599","3710"
"18","2010","1","0.1933616","1","0.1951237","2890"
"19","2010","2","0.1991865","2","0.2127608","4036"
"20","2010","3","0.1221612","3","0.1542039","9163"
"21","2010","4","0.1711904","4","0.1718945","4126"
"22","2010","1","0.1922149","1","0.1950880","2737"
"23","2010","2","0.1968406","2","0.2117814","3967"
"24","2010","3","0.1155793","3","0.1517803","8793"
"25","2010","4","0.1670049","4","0.1739876","4071"
"26","2011","1","0.1776510","1","0.1727491","2634"
"27","2011","2","0.1772947","2","0.1713427","4136"
"28","2011","3","0.1236461","3","0.1231506","9118"
"29","2011","4","0.1645170","4","0.1492612","4231"
"30","2011","1","0.1646956","1","0.1722599","2572"
"31","2011","2","0.1758988","2","0.1683487","4088"
"32","2011","3","0.1185923","3","0.1240710","8600"
"33","2011","4","0.1607450","4","0.1498121","4202"
"34","2012","1","0.1660374","1","0.1698715","2731"
"35","2012","2","0.1770524","2","0.2139426","4804"
"36","2012","3","0.1114909","3","0.1311951","8348"
"37","2012","4","0.1888892","4","0.1638609","4547"
"38","2012","1","0.1610513","1","0.1758201","2537"
"39","2012","2","0.1777300","2","0.2161674","4625"
"40","2012","3","0.1098007","3","0.1318947","8438"
"41","2012","4","0.1815503","4","0.1590905","4390"
"42","2013","1","0.1312566","1","0.1393969","2513"
"43","2013","2","0.1855705","2","0.2020957","4408"
"44","2013","3","0.1140294","3","0.1169101","7748"
"45","2013","4","0.1884695","4","0.1803495","4407"
"46","2013","1","0.1311918","1","0.1419386","2606"
"47","2013","2","0.1854897","2","0.1994387","4595"
"48","2013","3","0.1114394","3","0.1177667","7942"
"49","2013","4","0.1861894","4","0.1792302","4760"
"50","2014","1","0.1374654","1","0.1456976","2396"
"51","2014","2","0.1373512","2","0.1526499","4091"
"52","2014","3","0.1116724","3","0.1065262","7702"
"53","2014","4","0.1640390","4","0.1525260","4449"
"54","2014","1","0.1321392","1","0.1480793","2672"
"55","2014","2","0.1383675","2","0.1512836","4598"
"56","2014","3","0.1113267","3","0.1082804","9020"
"57","2014","4","0.1608357","4","0.1554018","5211"
"58","2015","1","0.1180042","1","0.1415591","2313"
"59","2015","2","0.1432364","2","0.1587112","4332"
"60","2015","3","0.1134421","3","0.1227068","8179"
"61","2015","4","0.1743878","4","0.1778138","4540"
"62","2015","1","0.1164900","1","0.1441301","3745"
"63","2015","2","0.1438257","2","0.1625005","6882"
"64","2015","3","0.1130352","3","0.1256960","13435"
"65","2015","4","0.1702871","4","0.1793019","7364"
"66","2016","1","0.1388946","1","0.1411987","2487"
"67","2016","2","0.1652368","2","0.1747400","4085"
"68","2016","3","0.1380180","3","0.1554221","8318"
"69","2016","4","0.1782445","4","0.1719899","4934"
"70","2016","1","0.1361299","1","0.1412045","2913"
"71","2016","2","0.1572480","2","0.1715031","4928"
"72","2016","3","0.1365903","3","0.1550775","9783"
"73","2016","4","0.1730694","4","0.1729120","5999"
"74","0","0","0","0","0","0"
"75","0","0","0","0","0","0"
"76","0","0","0","0","0","0"
"77","0","0","0","0","0","0"
"78","0","0","0","0","0","0"
"79","0","0","0","0","0","0"
"80","0","0","0","0","0","0"
