"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","regr","elemszam"
"2","2008","1","0.1232988","1","0.1432772","1226"
"3","2008","2","0.1502785","2","0.1610177","5846"
"4","2008","3","0.1768493","3","0.1884415","5194"
"5","2008","4","0.1583528","4","0.1792504","5596"
"6","2008","5","0.1351772","5","0.1470204","1544"
"7","2008","1","0.1018581","1","0.1414514","1315"
"8","2008","2","0.1456013","2","0.1609991","6570"
"9","2008","3","0.1781107","3","0.1898291","5921"
"10","2008","4","0.1583703","4","0.1780782","6391"
"11","2008","5","0.1357997","5","0.1431953","1790"
"12","2009","1","0.1143574","1","0.1257315","1161"
"13","2009","2","0.1274480","2","0.1470261","5911"
"14","2009","3","0.1596865","3","0.1805310","5638"
"15","2009","4","0.1547189","4","0.1825836","5534"
"16","2009","5","0.1440452","5","0.1602292","1940"
"17","2009","1","0.09898476","1","0.1229904","933"
"18","2009","2","0.13514513","2","0.1477899","5294"
"19","2009","3","0.16052051","3","0.1803033","5135"
"20","2009","4","0.14888901","4","0.1765629","4931"
"21","2009","5","0.13571220","5","0.1568267","1754"
"22","2010","1","0.1130243","1","0.1234804","997"
"23","2010","2","0.1377194","2","0.1534432","5796"
"24","2010","3","0.1746498","3","0.1879427","5877"
"25","2010","4","0.1690783","4","0.1962167","5190"
"26","2010","5","0.1586353","5","0.1738627","2355"
"27","2010","1","0.08836756","1","0.1146839","983"
"28","2010","2","0.13571972","2","0.1537230","5507"
"29","2010","3","0.17287248","3","0.1871419","5827"
"30","2010","4","0.16165399","4","0.1935919","5031"
"31","2010","5","0.15686555","5","0.1771515","2220"
"32","2011","1","0.1082223","1","0.1032099","1036"
"33","2011","2","0.1283665","2","0.1300005","5625"
"34","2011","3","0.1648869","3","0.1609171","6110"
"35","2011","4","0.1657954","4","0.1573458","4963"
"36","2011","5","0.1510350","5","0.1324179","2385"
"37","2011","1","0.0967258","1","0.1114336","937"
"38","2011","2","0.1250694","2","0.1309680","5539"
"39","2011","3","0.1618686","3","0.1609843","5967"
"40","2011","4","0.1594010","4","0.1582921","4791"
"41","2011","5","0.1458995","5","0.1252099","2228"
"42","2012","1","0.1124020","1","0.1354428","981"
"43","2012","2","0.1377309","2","0.1457896","5485"
"44","2012","3","0.1664045","3","0.1796779","6475"
"45","2012","4","0.1582219","4","0.1757237","5129"
"46","2012","5","0.1436033","5","0.1418499","2360"
"47","2012","1","0.08431718","1","0.1288954","919"
"48","2012","2","0.13137062","2","0.1465108","5474"
"49","2012","3","0.16527596","3","0.1809696","6203"
"50","2012","4","0.15696631","4","0.1749157","5140"
"51","2012","5","0.14439618","5","0.1397906","2254"
"52","2013","1","0.1027715","1","0.09468204","970"
"53","2013","2","0.1348651","2","0.13963337","5125"
"54","2013","3","0.1644711","3","0.17035789","5964"
"55","2013","4","0.1581457","4","0.16989334","4886"
"56","2013","5","0.1489678","5","0.13523520","2131"
"57","2013","1","0.08918649","1","0.09456205","1001"
"58","2013","2","0.12886935","2","0.14157751","5317"
"59","2013","3","0.16731489","3","0.17307297","6338"
"60","2013","4","0.16082319","4","0.16596344","5064"
"61","2013","5","0.14484667","5","0.13282260","2183"
"62","2014","1","0.09162006","1","0.08952863","1096"
"63","2014","2","0.11870559","2","0.11618252","4820"
"64","2014","3","0.14518137","3","0.14810651","5872"
"65","2014","4","0.14272833","4","0.14981588","4745"
"66","2014","5","0.13247206","5","0.11114237","2105"
"67","2014","1","0.0782768","1","0.09216833","1263"
"68","2014","2","0.1089372","2","0.11401243","5739"
"69","2014","3","0.1486478","3","0.14913723","6757"
"70","2014","4","0.1453335","4","0.14901046","5434"
"71","2014","5","0.1357720","5","0.12547182","2308"
"72","2015","1","0.0961807","1","0.1009500","1124"
"73","2015","2","0.1156567","2","0.1262918","4887"
"74","2015","3","0.1481362","3","0.1575113","6155"
"75","2015","4","0.1458207","4","0.1618973","5027"
"76","2015","5","0.1358207","5","0.1436486","2171"
"77","2015","1","0.07823882","1","0.09968036","1741"
"78","2015","2","0.11404717","2","0.12681594","8001"
"79","2015","3","0.15117909","3","0.15976620","9992"
"80","2015","4","0.14645690","4","0.16716629","8127"
"81","2015","5","0.12598715","5","0.14700072","3565"
"82","2016","1","0.1015834","1","0.1260525","1029"
"83","2016","2","0.1367198","2","0.1525494","4943"
"84","2016","3","0.1677574","3","0.1768901","6215"
"85","2016","4","0.1646186","4","0.1727309","5262"
"86","2016","5","0.1510507","5","0.1323503","2375"
"87","2016","1","0.08561718","1","0.1254516","1242"
"88","2016","2","0.12929118","2","0.1525307","5849"
"89","2016","3","0.17122189","3","0.1777431","7419"
"90","2016","4","0.16095723","4","0.1695314","6192"
"91","2016","5","0.14257704","5","0.1350707","2921"
"92","0","0","0","0","0","0"
"93","0","0","0","0","0","0"
"94","0","0","0","0","0","0"
"95","0","0","0","0","0","0"
"96","0","0","0","0","0","0"
"97","0","0","0","0","0","0"
"98","0","0","0","0","0","0"
"99","0","0","0","0","0","0"
"100","0","0","0","0","0","0"
