"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","regr","elemszam"
"2","2008","1","0.2172337","1","0.2525797","4778"
"3","2008","2","0.2083476","2","0.2540438","1445"
"4","2008","3","0.1694027","3","0.1888515","466"
"5","2008","4","0.1277941","4","0.1308400","12717"
"6","2008","1","0.2215655","1","0.2547889","5515"
"7","2008","2","0.2028141","2","0.2516826","1569"
"8","2008","3","0.1651753","3","0.1839206","516"
"9","2008","4","0.1233742","4","0.1297848","14387"
"10","2009","1","0.2090400","1","0.2412848","3916"
"11","2009","2","0.1814879","2","0.2259796","1488"
"12","2009","3","0.1896492","3","0.2218175","348"
"13","2009","4","0.1224665","4","0.1382913","14432"
"14","2009","1","0.2166854","1","0.2401323","3551"
"15","2009","2","0.1881606","2","0.2287517","1309"
"16","2009","3","0.1691804","3","0.2119576","295"
"17","2009","4","0.1193480","4","0.1360565","12892"
"18","2010","1","0.2212387","1","0.2691989","5201"
"19","2010","2","0.2207883","2","0.2415102","1290"
"20","2010","3","0.1971283","3","0.2000942","469"
"21","2010","4","0.1252730","4","0.1312200","13255"
"22","2010","1","0.2245103","1","0.2699159","4922"
"23","2010","2","0.2209203","2","0.2431495","1339"
"24","2010","3","0.1828425","3","0.1863245","456"
"25","2010","4","0.1181929","4","0.1305683","12851"
"26","2011","1","0.2011016","1"," 0.21276081","5413"
"27","2011","2","0.1955583","2"," 0.20609454","1357"
"28","2011","3","0.1194936","3","-0.02268212","445"
"29","2011","4","0.1253557","4"," 0.11599927","12904"
"30","2011","1","0.1966808","1"," 0.211539865","5139"
"31","2011","2","0.1894698","2"," 0.204285579","1374"
"32","2011","3","0.1136809","3","-0.009788293","438"
"33","2011","4","0.1212652","4"," 0.117039306","12511"
"34","2012","1","0.1977773","1","0.2402788","5787"
"35","2012","2","0.1865299","2","0.2199272","1510"
"36","2012","3","0.1328059","3","0.1324378","268"
"37","2012","4","0.1268421","4","0.1223409","12865"
"38","2012","1","0.1963859","1","0.2415175","5515"
"39","2012","2","0.1857204","2","0.2180693","1433"
"40","2012","3","0.1488254","3","0.1389883","278"
"41","2012","4","0.1224940","4","0.1233205","12764"
"42","2013","1","0.1771335","1","0.1988775","5411"
"43","2013","2","0.1591567","2","0.1813745","1112"
"44","2013","3","0.1287120","3","0.1442081","713"
"45","2013","4","0.1380662","4","0.1318520","11840"
"46","2013","1","0.1816808","1","0.2027830","5585"
"47","2013","2","0.1479480","2","0.1778405","1270"
"48","2013","3","0.1225104","3","0.1476700","719"
"49","2013","4","0.1358471","4","0.1306007","12329"
"50","2014","1","0.1768125","1","0.18351716","5514"
"51","2014","2","0.1509453","2","0.18753684","995"
"52","2014","3","0.1285750","3","0.09983026","466"
"53","2014","4","0.1111318","4","0.10525610","11663"
"54","2014","1","0.1769049","1","0.1833935","6440"
"55","2014","2","0.1473502","2","0.1859954","1122"
"56","2014","3","0.1323048","3","0.1143393","533"
"57","2014","4","0.1086423","4","0.1064504","13406"
"58","2015","1","0.1693538","1","0.1923226","4538"
"59","2015","2","0.1680994","2","0.2001911","1314"
"60","2015","3","0.1440652","3","0.1803056","481"
"61","2015","4","0.1192773","4","0.1230388","13031"
"62","2015","1","0.1693366","1","0.1945749","7409"
"63","2015","2","0.1729919","2","0.2023399","2154"
"64","2015","3","0.1257542","3","0.1741960","824"
"65","2015","4","0.1172976","4","0.1257767","21039"
"66","2016","1","0.1985559","1","0.2162817","4464"
"67","2016","2","0.1933211","2","0.1724269","1087"
"68","2016","3","0.1681580","3","0.1236385","439"
"69","2016","4","0.1357237","4","0.1445126","13834"
"70","2016","1","0.1995215","1","0.2175788","5473"
"71","2016","2","0.1884843","2","0.1717673","1299"
"72","2016","3","0.1693924","3","0.1219241","498"
"73","2016","4","0.1299328","4","0.1428647","16353"
"74","2016","0","0","0","0","0"
"75","2016","0","0","0","0","0"
"76","0","0","0","0","0","0"
"77","0","0","0","0","0","0"
"78","0","0","0","0","0","0"
"79","0","0","0","0","0","0"
"80","0","0","0","0","0","0"
"81","0","0","0","0","0","0"
"82","0","0","0","0","0","0"
"83","0","0","0","0","0","0"
"84","0","0","0","0","0","0"
"85","0","0","0","0","0","0"
"86","0","0","0","0","0","0"
"87","0","0","0","0","0","0"
"88","0","0","0","0","0","0"
"89","0","0","0","0","0","0"
"90","0","0","0","0","0","0"
"91","0","0","0","0","0","0"
"92","0","0","0","0","0","0"
"93","0","0","0","0","0","0"
"94","0","0","0","0","0","0"
"95","0","0","0","0","0","0"
"96","0","0","0","0","0","0"
"97","0","0","0","0","0","0"
"98","0","0","0","0","0","0"
"99","0","0","0","0","0","0"
"100","0","0","0","0","0","0"
