"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","category","regr","elemszam"
"2","2008","1","0.19977318419807","1","0.211856735827863","2777"
"3","2008","2","0.215463441197106","2","0.234695215502779","4761"
"4","2008","3","0.159447399939689","3","0.158865851828564","4082"
"5","2008","4","0.0963671214178027","4","0.119318112120023","3676"
"6","2008","5","0.116804606608191","5","0.141213658467277","3684"
"7","2008","1","0.191668312465243","1","0.211630972651646","3067"
"8","2008","2","0.217406341452174","2","0.235697296407819","5513"
"9","2008","3","0.156344543121395","3","0.160563197327949","4570"
"10","2008","4","0.0975824739760342","4","0.117574907403631","4234"
"11","2008","5","0.109982857118487","5","0.136750947216932","4155"
"12","2009","1","0.17165757912052","1","0.193017170741198","2908"
"13","2009","2","0.19928699766138","2","0.220394900810408","4124"
"14","2009","3","0.142511937480873","3","0.143384507173263","4450"
"15","2009","4","0.102734539222922","4","0.131481113085724","4497"
"16","2009","5","0.128818211388478","5","0.147244784307558","2140"
"17","2009","1","0.166607151545662","1","0.188107180491326","2603"
"18","2009","2","0.204377455900174","2","0.218812530772573","3692"
"19","2009","3","0.142439526563095","3","0.14247112422685","3949"
"20","2009","4","0.103464832308024","4","0.128314941685692","4125"
"21","2009","5","0.126558549473212","5","0.151006096884263","1884"
"22","2010","1","0.191610818686506","1","0.206901540238667","2928"
"23","2010","2","0.200887952193963","2","0.218899650724425","5138"
"24","2010","3","0.161080814657355","3","0.160928760182841","3529"
"25","2010","4","0.097535964207105","4","0.133611543124623","4413"
"26","2010","5","0.15374643975477","5","0.175683402090206","3926"
"27","2010","1","0.184721532564805","1","0.208934828314397","2852"
"28","2010","2","0.202637563192105","2","0.218115604743812","4889"
"29","2010","3","0.160413854879631","3","0.160934093558154","3410"
"30","2010","4","0.096046455842868","4","0.133616915285357","4383"
"31","2010","5","0.140983913372674","5","0.176107857380055","3745"
"32","2011","1","0.219582424163805","1","0.248664486869941","4016"
"33","2011","2","0.159459088803152","2","0.173954011024651","3991"
"34","2011","3","0.143366796809712","3","0.128535248221784","3577"
"35","2011","4","0.119909006380427","4","0.157292154873795","3968"
"36","2011","5","0.1130166592607","5","0.0296271736212791","4281"
"37","2011","1","0.210340787156197","1","0.244692609332858","3800"
"38","2011","2","0.161106619575685","2","0.170449662480781","3846"
"39","2011","3","0.138457922723584","3","0.128238892670069","3501"
"40","2011","4","0.120133223835224","4","0.159676449903773","3981"
"41","2011","5","0.106894995357111","5","0.0353065678466031","4070"
"42","2012","1","0.188598425852988","1","0.21031530162509","2848"
"43","2012","2","0.194898549222788","2","0.232758402184376","5233"
"44","2012","3","0.14173551812266","3","0.18956193307208","3769"
"45","2012","4","0.122033355712393","4","0.144309979368676","3963"
"46","2012","5","0.114390817484414","5","0.0544456685094814","4332"
"47","2012","1","0.18262669503015","1","0.210118805180982","2869"
"48","2012","2","0.200163265177951","2","0.233571506761606","4980"
"49","2012","3","0.138677832688528","3","0.190306429926436","3642"
"50","2012","4","0.128702147127954","4","0.138812461834451","4491"
"51","2012","5","0.0878850398777198","5","0.0477539582422718","3731"
"52","2013","1","0.166793093727139","1","0.185343241609384","3713"
"53","2013","2","0.190951160503036","2","0.212828618032521","3730"
"54","2013","3","0.140139804234557","3","0.17872378730515","2311"
"55","2013","4","0.132091407572974","4","0.128289172709678","5472"
"56","2013","5","0.128077832115925","5","0.0970811499122659","3605"
"57","2013","1","0.172634634318653","1","0.183905059899579","3736"
"58","2013","2","0.195670031540533","2","0.212224695770104","3973"
"59","2013","3","0.136993107206814","3","0.177824901864345","2440"
"60","2013","4","0.129219885681367","4","0.130197089307789","5735"
"61","2013","5","0.119530759620546","5","0.0977568224310598","3764"
"62","2014","1","0.155448145334858","1","0.167932938679686","2795"
"63","2014","2","0.165098516588547","2","0.194684994266888","4646"
"64","2014","3","0.125856885758248","3","0.159500784917377","3395"
"65","2014","4","0.115401620128831","4","0.112091580203849","3670"
"66","2014","5","0.10548108594765","5","0.0424582054912715","3891"
"67","2014","1","0.151809289497232","1","0.16720082620454","3297"
"68","2014","2","0.170998621151939","2","0.192251757657212","5247"
"69","2014","3","0.12153876384991","3","0.158394407158896","4091"
"70","2014","4","0.116539721603923","4","0.118880214406297","4215"
"71","2014","5","0.0971138773956935","5","0.0431928769505568","4388"
"72","2015","1","0.154538242606327","1","0.157328468805404","2986"
"73","2015","2","0.166950868438786","2","0.205889380806357","4223"
"74","2015","3","0.128281373668217","3","0.204259851548905","2681"
"75","2015","4","0.121614187684485","4","0.117489579452062","4909"
"76","2015","5","0.112277143062496","5","0.0840328031400791","4217"
"77","2015","1","0.156369623718695","1","0.161401025787515","4802"
"78","2015","2","0.174544337191555","2","0.210083645873419","6900"
"79","2015","3","0.134285074458517","3","0.20610699445876","4319"
"80","2015","4","0.116509720719654","4","0.118854127494923","8008"
"81","2015","5","0.0991418732521296","5","0.085598339392881","6837"
"82","2016","1","0.172656030336388","1","0.17776180727098","2996"
"83","2016","2","0.182383969651134","2","0.20957926367809","4456"
"84","2016","3","0.147294564556502","3","0.17066421571196","2164"
"85","2016","4","0.138187401911033","4","0.141074065268235","5470"
"86","2016","5","0.135556649584411","5","0.12706314606609","4719"
"87","2016","1","0.172255705627038","1","0.176204550228677","3543"
"88","2016","2","0.183999586319456","2","0.209088132595919","5165"
"89","2016","3","0.148239888806962","3","0.172322767613546","2707"
"90","2016","4","0.132717442974062","4","0.142604518204373","6517"
"91","2016","5","0.126262832412077","5","0.125489602311933","5668"
"92","2016","0","0","0","0","0"
"93","2016","0","0","0","0","0"
"94","2016","0","0","0","0","0"
"95","2016","0","0","0","0","0"
"96","2016","0","0","0","0","0"
"97","2016","0","0","0","0","0"
"98","2016","0","0","0","0","0"
"99","2016","0","0","0","0","0"
"100","2016","0","0","0","0","0"
"101","2016","0","0","0","0","0"
"102","0","0","0","0","0","0"
"103","0","0","0","0","0","0"
"104","0","0","0","0","0","0"
"105","0","0","0","0","0","0"
"106","0","0","0","0","0","0"
"107","0","0","0","0","0","0"
"108","0","0","0","0","0","0"
"109","0","0","0","0","0","0"
"110","0","0","0","0","0","0"
"111","0","0","0","0","0","0"
"112","0","0","0","0","0","0"
"113","0","0","0","0","0","0"
"114","0","0","0","0","0","0"
"115","0","0","0","0","0","0"
"116","0","0","0","0","0","0"
"117","0","0","0","0","0","0"
