"","V1","V2","V3"
"1","0","category","kvantilisek"
"2","2008","0.2","39.9"
"3","2008","0.4","57.35"
"4","2008","0.6","71.75"
"5","2008","0.8","77.5"
"6","2008","1","94.4"
"7","2008","0.2","39.9"
"8","2008","0.4","57.35"
"9","2008","0.6","69.89"
"10","2008","0.8","77.5"
"11","2008","1","94.4"
"12","2009","0.2","38.54"
"13","2009","0.4","53.05"
"14","2009","0.6","72.87"
"15","2009","0.8","78.33"
"16","2009","1","90.53"
"17","2009","0.2","38.54"
"18","2009","0.4","53.05"
"19","2009","0.6","72.87"
"20","2009","0.8","78.33"
"21","2009","1","90.53"
"22","2010","0.2","40.65"
"23","2010","0.4","56.68"
"24","2010","0.6","72.36"
"25","2010","0.8","76.7"
"26","2010","1","91.86"
"27","2010","0.2","40.65"
"28","2010","0.4","56.68"
"29","2010","0.6","72.36"
"30","2010","0.8","76.7"
"31","2010","1","91.86"
"32","2011","0.2","40.17"
"33","2011","0.4","63.72"
"34","2011","0.6","71.27"
"35","2011","0.8","79.97"
"36","2011","1","89.96"
"37","2011","0.2","41.28"
"38","2011","0.4","63.72"
"39","2011","0.6","71.27"
"40","2011","0.8","79.97"
"41","2011","1","89.96"
"42","2012","0.2","42.4"
"43","2012","0.4","60.32"
"44","2012","0.6","70.79"
"45","2012","0.8","80.82"
"46","2012","1","91.47"
"47","2012","0.2","42.4"
"48","2012","0.4","60.32"
"49","2012","0.6","70.79"
"50","2012","0.8","80.93"
"51","2012","1","91.47"
"52","2013","0.2","41.37"
"53","2013","0.4","59.45"
"54","2013","0.6","68.02"
"55","2013","0.8","73.68"
"56","2013","1","90"
"57","2013","0.2","41.37"
"58","2013","0.4","59.45"
"59","2013","0.6","68.02"
"60","2013","0.8","73.68"
"61","2013","1","90"
"62","2014","0.2","35.59"
"63","2014","0.4","59.94"
"64","2014","0.6","69.68"
"65","2014","0.8","78.82"
"66","2014","1","89.65"
"67","2014","0.2","35.59"
"68","2014","0.4","59.94"
"69","2014","0.6","69.68"
"70","2014","0.8","78.82"
"71","2014","1","89.65"
"72","2015","0.2","39.05"
"73","2015","0.4","56.99"
"74","2015","0.6","67.87"
"75","2015","0.8","75.93"
"76","2015","1","89.32"
"77","2015","0.2","39.05"
"78","2015","0.4","56.99"
"79","2015","0.6","67.87"
"80","2015","0.8","75.93"
"81","2015","1","89.32"
"82","2016","0.2","38.78"
"83","2016","0.4","57.12"
"84","2016","0.6","68.45"
"85","2016","0.8","73.73"
"86","2016","1","88.86"
"87","2016","0.2","38.78"
"88","2016","0.4","57.12"
"89","2016","0.6","68.45"
"90","2016","0.8","73.73"
"91","2016","1","88.86"
"92","2016","0","0"
"93","2016","0","0"
"94","2016","0","0"
"95","2016","0","0"
"96","2016","0","0"
"97","2016","0","0"
"98","2016","0","0"
"99","2016","0","0"
"100","2016","0","0"
"101","2016","0","0"
"102","0","0","0"
"103","0","0","0"
"104","0","0","0"
"105","0","0","0"
"106","0","0","0"
"107","0","0","0"
"108","0","0","0"
"109","0","0","0"
"110","0","0","0"
"111","0","0","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","0","0","0"
"118","0","0","0"
"119","0","0","0"
"120","0","0","0"
"121","0","0","0"
"122","0","0","0"
"123","0","0","0"
"124","0","0","0"
"125","0","0","0"
"126","0","0","0"
"127","0","0","0"
"128","0","0","0"
"129","0","0","0"
"130","0","0","0"
"131","0","0","0"
"132","0","0","0"
"133","0","0","0"
"134","0","0","0"
"135","0","0","0"
"136","0","0","0"
"137","0","0","0"
"138","0","0","0"
"139","0","0","0"
"140","0","0","0"
"141","0","0","0"
"142","0","0","0"
"143","0","0","0"
"144","0","0","0"
"145","0","0","0"
"146","0","0","0"
"147","0","0","0"
"148","0","0","0"
"149","0","0","0"
"150","0","0","0"
"151","0","0","0"
"152","0","0","0"
"153","0","0","0"
"154","0","0","0"
"155","0","0","0"
"156","0","0","0"
"157","0","0","0"
"158","0","0","0"
"159","0","0","0"
"160","0","0","0"
"161","0","0","0"
"162","0","0","0"
"163","0","0","0"
"164","0","0","0"
"165","0","0","0"
"166","0","0","0"
"167","0","0","0"
"168","0","0","0"
"169","0","0","0"
"170","0","0","0"
"171","0","0","0"
"172","0","0","0"
"173","0","0","0"
"174","0","0","0"
"175","0","0","0"
"176","0","0","0"
"177","0","0","0"
"178","0","0","0"
"179","0","0","0"
"180","0","0","0"
"181","0","0","0"
"182","0","0","0"
"183","0","0","0"
"184","0","0","0"
"185","0","0","0"
"186","0","0","0"
"187","0","0","0"
"188","0","0","0"
"189","0","0","0"
"190","0","0","0"
"191","0","0","0"
"192","0","0","0"
"193","0","0","0"
"194","0","0","0"
"195","0","0","0"
"196","0","0","0"
"197","0","0","0"
"198","0","0","0"
"199","0","0","0"
"200","0","0","0"
