"","year","dataset","category","RF","no of obs."
"1","2008","training","1","0.231441165899625","932"
"2","2008","training","2","0.175613649931594","3192"
"3","2008","training","3","0.199098817423355","5751"
"4","2008","training","4","0.118195327580464","5888"
"5","2008","training","5","0.116756856391139","3643"
"6","2012","training","1","0.239265299764843","498"
"7","2012","training","2","0.178073526011318","2350"
"8","2012","training","3","0.194842966941572","5233"
"9","2012","training","4","0.131638276892561","7732"
"10","2012","training","5","0.11213991416605","4617"
"11","2016","training","1","0.18517424144305","844"
"12","2016","training","2","0.185616065046285","3257"
"13","2016","training","3","0.163636730974275","4125"
"14","2016","training","4","0.143139915384989","8290"
"15","2016","training","5","0.128357871764114","3308"
"16","2008","test","1","0.217505259724703","1081"
"17","2008","test","2","0.178180586243462","3544"
"18","2008","test","3","0.194187637751718","6698"
"19","2008","test","4","0.119230103393593","6588"
"20","2008","test","5","0.109753892768961","4076"
"21","2012","test","1","0.213371543611067","533"
"22","2012","test","2","0.175689517714402","2336"
"23","2012","test","3","0.199847385854276","4980"
"24","2012","test","4","0.129001037746534","7641"
"25","2012","test","5","0.0998532540874062","4500"
"26","2016","test","1","0.185982992694683","1052"
"27","2016","test","2","0.182816959514337","3742"
"28","2016","test","3","0.168994869363531","4769"
"29","2016","test","4","0.136246944552349","10114"
"30","2016","test","5","0.121836130914139","3946"
