"","V1","V2","V3","V4","V5","V6"
"1","0","category","RF","elemszam","category","regr"
"2","2008","1","0.1306232","1","0.1428993","4646"
"3","2008","2","0.1475106","2","0.1529101","4947"
"4","2008","3","0.1752600","3","0.1783202","4940"
"5","2008","4","0.1725239","4","0.2102521","4873"
"6","2008","1","0.1221248","1","0.1425765","5273"
"7","2008","2","0.1508094","2","0.1551434","5655"
"8","2008","3","0.1684613","3","0.1768946","5538"
"9","2008","4","0.1758077","4","0.2089084","5521"
"10","2009","1","0.1209686","1","0.1335465","4979"
"11","2009","2","0.1274519","2","0.1462372","5017"
"12","2009","3","0.1675450","3","0.1682854","5105"
"13","2009","4","0.1623142","4","0.2157083","5083"
"14","2009","1","0.1150607","1","0.1303671","4464"
"15","2009","2","0.1321472","2","0.1483606","4536"
"16","2009","3","0.1707128","3","0.1695609","4523"
"17","2009","4","0.1589545","4","0.2092987","4524"
"18","2010","1","0.1225988","1","0.1404720","4891"
"19","2010","2","0.1464011","2","0.1516212","5158"
"20","2010","3","0.1880193","3","0.1811650","5103"
"21","2010","4","0.1726637","4","0.2273794","5063"
"22","2010","1","0.1077539","1","0.1361204","4856"
"23","2010","2","0.1506198","2","0.1531325","4826"
"24","2010","3","0.1816926","3","0.1803846","4979"
"25","2010","4","0.1728822","4","0.2280105","4907"
"26","2011","1","0.1288777","1","0.1159035","4940"
"27","2011","2","0.1363998","2","0.1311823","5042"
"28","2011","3","0.1633056","3","0.1462918","5084"
"29","2011","4","0.1721890","4","0.1861020","5053"
"30","2011","1","0.1177960","1","0.1184288","4769"
"31","2011","2","0.1312987","2","0.1292469","4876"
"32","2011","3","0.1623791","3","0.1484233","4921"
"33","2011","4","0.1709491","4","0.1843132","4896"
"34","2012","1","0.1141231","1","0.1266980","5090"
"35","2012","2","0.1378607","2","0.1526882","5073"
"36","2012","3","0.1714184","3","0.1704056","5136"
"37","2012","4","0.1818269","4","0.2021650","5131"
"38","2012","1","0.1026026","1","0.1270431","4878"
"39","2012","2","0.1345945","2","0.1513688","5115"
"40","2012","3","0.1657384","3","0.1697179","4969"
"41","2012","4","0.1872698","4","0.2028378","5028"
"42","2013","1","0.1219063","1","0.1202138","4734"
"43","2013","2","0.1421120","2","0.1469692","4755"
"44","2013","3","0.1570512","3","0.1642429","4722"
"45","2013","4","0.1783114","4","0.1846406","4865"
"46","2013","1","0.1109746","1","0.1231072","4965"
"47","2013","2","0.1404123","2","0.1438569","4910"
"48","2013","3","0.1641571","3","0.1641054","4916"
"49","2013","4","0.1795999","4","0.1859242","5112"
"50","2014","1","0.1052965","1","0.09717935","4586"
"51","2014","2","0.1191591","2","0.12201253","4718"
"52","2014","3","0.1418852","3","0.13934323","4666"
"53","2014","4","0.1658231","4","0.17162393","4668"
"54","2014","1","0.09737001","1","0.1011434","5230"
"55","2014","2","0.11725676","2","0.1184780","5454"
"56","2014","3","0.14387814","3","0.1430231","5376"
"57","2014","4","0.16712358","4","0.1716057","5441"
"58","2015","1","0.1004931","1","0.1114991","4718"
"59","2015","2","0.1225473","2","0.1279214","4846"
"60","2015","3","0.1522961","3","0.1571367","4948"
"61","2015","4","0.1631195","4","0.1859820","4852"
"62","2015","1","0.09390826","1","0.1141017","7828"
"63","2015","2","0.12220372","2","0.1299743","7745"
"64","2015","3","0.15553831","3","0.1602690","7962"
"65","2015","4","0.16204643","4","0.1889874","7891"
"66","2016","1","0.1139193","1","0.1402775","4833"
"67","2016","2","0.1383923","2","0.1513071","5019"
"68","2016","3","0.1740290","3","0.1697678","4990"
"69","2016","4","0.1875448","4","0.1850382","4982"
"70","2016","1","0.1072297","1","0.1390798","5755"
"71","2016","2","0.1353929","2","0.1521635","5994"
"72","2016","3","0.1715970","3","0.1710434","5935"
"73","2016","4","0.1850295","4","0.1824051","5939"
"74","2016","0","0","0","0","0"
"75","2016","0","0","0","0","0"
"76","2016","0","0","0","0","0"
"77","2016","0","0","0","0","0"
"78","2016","0","0","0","0","0"
"79","2016","0","0","0","0","0"
"80","2016","0","0","0","0","0"
"81","2016","0","0","0","0","0"
"82","2016","0","0","0","0","0"
"83","2016","0","0","0","0","0"
"84","2016","0","0","0","0","0"
"85","2016","0","0","0","0","0"
"86","0","0","0","0","0","0"
"87","0","0","0","0","0","0"
"88","0","0","0","0","0","0"
"89","0","0","0","0","0","0"
"90","0","0","0","0","0","0"
"91","0","0","0","0","0","0"
"92","0","0","0","0","0","0"
"93","0","0","0","0","0","0"
"94","0","0","0","0","0","0"
"95","0","0","0","0","0","0"
"96","0","0","0","0","0","0"
"97","0","0","0","0","0","0"
"98","0","0","0","0","0","0"
"99","0","0","0","0","0","0"
"100","0","0","0","0","0","0"
"101","0","0","0","0","0","0"
"102","0","0","0","0","0","0"
"103","0","0","0","0","0","0"
"104","0","0","0","0","0","0"
"105","0","0","0","0","0","0"
"106","0","0","0","0","0","0"
"107","0","0","0","0","0","0"
"108","0","0","0","0","0","0"
"109","0","0","0","0","0","0"
"110","0","0","0","0","0","0"
"111","0","0","0","0","0","0"
"112","0","0","0","0","0","0"
"113","0","0","0","0","0","0"
"114","0","0","0","0","0","0"
"115","0","0","0","0","0","0"
"116","0","0","0","0","0","0"
"117","0","0","0","0","0","0"
"118","0","0","0","0","0","0"
"119","0","0","0","0","0","0"
"120","0","0","0","0","0","0"
"121","0","0","0","0","0","0"
"122","0","0","0","0","0","0"
"123","0","0","0","0","0","0"
"124","0","0","0","0","0","0"
"125","0","0","0","0","0","0"
"126","0","0","0","0","0","0"
"127","0","0","0","0","0","0"
"128","0","0","0","0","0","0"
"129","0","0","0","0","0","0"
"130","0","0","0","0","0","0"
"131","0","0","0","0","0","0"
"132","0","0","0","0","0","0"
"133","0","0","0","0","0","0"
"134","0","0","0","0","0","0"
"135","0","0","0","0","0","0"
"136","0","0","0","0","0","0"
"137","0","0","0","0","0","0"
"138","0","0","0","0","0","0"
"139","0","0","0","0","0","0"
"140","0","0","0","0","0","0"
"141","0","0","0","0","0","0"
"142","0","0","0","0","0","0"
"143","0","0","0","0","0","0"
"144","0","0","0","0","0","0"
"145","0","0","0","0","0","0"
"146","0","0","0","0","0","0"
"147","0","0","0","0","0","0"
"148","0","0","0","0","0","0"
"149","0","0","0","0","0","0"
"150","0","0","0","0","0","0"
"151","0","0","0","0","0","0"
"152","0","0","0","0","0","0"
"153","0","0","0","0","0","0"
"154","0","0","0","0","0","0"
"155","0","0","0","0","0","0"
"156","0","0","0","0","0","0"
"157","0","0","0","0","0","0"
"158","0","0","0","0","0","0"
"159","0","0","0","0","0","0"
"160","0","0","0","0","0","0"
"161","0","0","0","0","0","0"
"162","0","0","0","0","0","0"
"163","0","0","0","0","0","0"
"164","0","0","0","0","0","0"
"165","0","0","0","0","0","0"
"166","0","0","0","0","0","0"
"167","0","0","0","0","0","0"
"168","0","0","0","0","0","0"
"169","0","0","0","0","0","0"
"170","0","0","0","0","0","0"
"171","0","0","0","0","0","0"
"172","0","0","0","0","0","0"
"173","0","0","0","0","0","0"
"174","0","0","0","0","0","0"
"175","0","0","0","0","0","0"
"176","0","0","0","0","0","0"
"177","0","0","0","0","0","0"
"178","0","0","0","0","0","0"
"179","0","0","0","0","0","0"
"180","0","0","0","0","0","0"
"181","0","0","0","0","0","0"
"182","0","0","0","0","0","0"
"183","0","0","0","0","0","0"
"184","0","0","0","0","0","0"
"185","0","0","0","0","0","0"
"186","0","0","0","0","0","0"
"187","0","0","0","0","0","0"
"188","0","0","0","0","0","0"
"189","0","0","0","0","0","0"
"190","0","0","0","0","0","0"
"191","0","0","0","0","0","0"
"192","0","0","0","0","0","0"
"193","0","0","0","0","0","0"
"194","0","0","0","0","0","0"
"195","0","0","0","0","0","0"
"196","0","0","0","0","0","0"
"197","0","0","0","0","0","0"
"198","0","0","0","0","0","0"
"199","0","0","0","0","0","0"
"200","0","0","0","0","0","0"
