"","V1","V2","V3"
"1","0","category","kvantilisek"
"2","2008","0.25","15"
"3","2008","0.5","44"
"4","2008","0.75","113"
"5","2008","1","943"
"6","2008","0.25","15"
"7","2008","0.5","45"
"8","2008","0.75","114"
"9","2008","1","981"
"10","2009","0.25","20"
"11","2009","0.5","50"
"12","2009","0.75","127"
"13","2009","1","773"
"14","2009","0.25","20"
"15","2009","0.5","51"
"16","2009","0.75","126"
"17","2009","1","908"
"18","2010","0.25","22"
"19","2010","0.5","53"
"20","2010","0.75","128"
"21","2010","1","989"
"22","2010","0.25","23"
"23","2010","0.5","52"
"24","2010","0.75","127"
"25","2010","1","730"
"26","2011","0.25","19"
"27","2011","0.5","51"
"28","2011","0.75","122"
"29","2011","1","964"
"30","2011","0.25","19"
"31","2011","0.5","51"
"32","2011","0.75","122"
"33","2011","1","865"
"34","2012","0.25","16"
"35","2012","0.5","49"
"36","2012","0.75","108"
"37","2012","1","994"
"38","2012","0.25","15"
"39","2012","0.5","49"
"40","2012","0.75","110"
"41","2012","1","945"
"42","2013","0.25","22"
"43","2013","0.5","57"
"44","2013","0.75","120"
"45","2013","1","537"
"46","2013","0.25","22"
"47","2013","0.5","57"
"48","2013","0.75","120"
"49","2013","1","568"
"50","2014","0.25","18"
"51","2014","0.5","51"
"52","2014","0.75","112"
"53","2014","1","580"
"54","2014","0.25","17"
"55","2014","0.5","49"
"56","2014","0.75","108"
"57","2014","1","521"
"58","2015","0.25","17"
"59","2015","0.5","51"
"60","2015","0.75","121"
"61","2015","1","592"
"62","2015","0.25","18"
"63","2015","0.5","52"
"64","2015","0.75","122"
"65","2015","1","569"
"66","2016","0.25","16"
"67","2016","0.5","48"
"68","2016","0.75","117"
"69","2016","1","588"
"70","2016","0.25","16"
"71","2016","0.5","49"
"72","2016","0.75","119"
"73","2016","1","569"
"74","2016","0","0"
"75","2016","0","0"
"76","2016","0","0"
"77","2016","0","0"
"78","2016","0","0"
"79","2016","0","0"
"80","2016","0","0"
"81","2016","0","0"
"82","2016","0","0"
"83","2016","0","0"
"84","2016","0","0"
"85","2016","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100","0","0","0"
"101","0","0","0"
"102","0","0","0"
"103","0","0","0"
"104","0","0","0"
"105","0","0","0"
"106","0","0","0"
"107","0","0","0"
"108","0","0","0"
"109","0","0","0"
"110","0","0","0"
"111","0","0","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","0","0","0"
"118","0","0","0"
"119","0","0","0"
"120","0","0","0"
"121","0","0","0"
"122","0","0","0"
"123","0","0","0"
"124","0","0","0"
"125","0","0","0"
"126","0","0","0"
"127","0","0","0"
"128","0","0","0"
"129","0","0","0"
"130","0","0","0"
"131","0","0","0"
"132","0","0","0"
"133","0","0","0"
"134","0","0","0"
"135","0","0","0"
"136","0","0","0"
"137","0","0","0"
"138","0","0","0"
"139","0","0","0"
"140","0","0","0"
"141","0","0","0"
"142","0","0","0"
"143","0","0","0"
"144","0","0","0"
"145","0","0","0"
"146","0","0","0"
"147","0","0","0"
"148","0","0","0"
"149","0","0","0"
"150","0","0","0"
"151","0","0","0"
"152","0","0","0"
"153","0","0","0"
"154","0","0","0"
"155","0","0","0"
"156","0","0","0"
"157","0","0","0"
"158","0","0","0"
"159","0","0","0"
"160","0","0","0"
"161","0","0","0"
"162","0","0","0"
"163","0","0","0"
"164","0","0","0"
"165","0","0","0"
"166","0","0","0"
"167","0","0","0"
"168","0","0","0"
"169","0","0","0"
"170","0","0","0"
"171","0","0","0"
"172","0","0","0"
"173","0","0","0"
"174","0","0","0"
"175","0","0","0"
"176","0","0","0"
"177","0","0","0"
"178","0","0","0"
"179","0","0","0"
"180","0","0","0"
"181","0","0","0"
"182","0","0","0"
"183","0","0","0"
"184","0","0","0"
"185","0","0","0"
"186","0","0","0"
"187","0","0","0"
"188","0","0","0"
"189","0","0","0"
"190","0","0","0"
"191","0","0","0"
"192","0","0","0"
"193","0","0","0"
"194","0","0","0"
"195","0","0","0"
"196","0","0","0"
"197","0","0","0"
"198","0","0","0"
"199","0","0","0"
"200","0","0","0"
